tweet_id,user,tweet,date
1,@user1,Can't wait for the weekend! #excited,2023-01-01
2,@user2,Why is everything so expensive these days? #inflation,2023-01-02
3,@user3,Terrible service today. Really disappointed. #fail,2023-01-03
4,@user4,Politics is a mess right now. #news,2023-01-04
5,@user5,Feeling under the weather today. 😷 #sick,2023-01-05
6,@user6,Why is everything so expensive these days? #inflation,2023-01-06
7,@user7,Terrible service today. Really disappointed. #fail,2023-01-07
8,@user8,The weather is just perfect for a walk. #sunnyday,2023-01-08
9,@user9,Why is everything so expensive these days? #inflation,2023-01-09
10,@user10,Not sure how I feel about this movie. Mixed emotions. #review,2023-01-10
11,@user11,Politics is a mess right now. #news,2023-01-11
12,@user12,This product exceeded my expectations. #happycustomer,2023-01-12
13,@user13,Terrible service today. Really disappointed. #fail,2023-01-13
14,@user14,Feeling under the weather today. 😷 #sick,2023-01-14
15,@user15,Feeling under the weather today. 😷 #sick,2023-01-15
16,@user16,Feeling under the weather today. 😷 #sick,2023-01-16
17,@user17,The weather is just perfect for a walk. #sunnyday,2023-01-17
18,@user18,I love the new features in this update! #awesome,2023-01-18
19,@user19,This product exceeded my expectations. #happycustomer,2023-01-19
20,@user20,The weather is just perfect for a walk. #sunnyday,2023-01-20
21,@user21,Why is everything so expensive these days? #inflation,2023-01-21
22,@user22,Terrible service today. Really disappointed. #fail,2023-01-22
23,@user23,Why is everything so expensive these days? #inflation,2023-01-23
24,@user24,Politics is a mess right now. #news,2023-01-24
25,@user25,Terrible service today. Really disappointed. #fail,2023-01-25
26,@user26,This product exceeded my expectations. #happycustomer,2023-01-26
27,@user27,Not sure how I feel about this movie. Mixed emotions. #review,2023-01-27
28,@user28,Terrible service today. Really disappointed. #fail,2023-01-28
29,@user29,This product exceeded my expectations. #happycustomer,2023-01-29
30,@user30,Had the best coffee this morning ☕ #blessed,2023-01-30
31,@user31,Terrible service today. Really disappointed. #fail,2023-01-31
32,@user32,Feeling under the weather today. 😷 #sick,2023-02-01
33,@user33,I love the new features in this update! #awesome,2023-02-02
34,@user34,Politics is a mess right now. #news,2023-02-03
35,@user35,This product exceeded my expectations. #happycustomer,2023-02-04
