tweet_id,user,tweet,date,cleaned_tweet,sentiment
1,@user1,Can't wait for the weekend! #excited,2023-01-01,cant wait for the weekend #excited,Positive
2,@user2,Why is everything so expensive these days? #inflation,2023-01-02,why is everything so expensive these days #inflation,Negative
3,@user3,Terrible service today. Really disappointed. #fail,2023-01-03,terrible service today really disappointed #fail,Neutral
4,@user4,Politics is a mess right now. #news,2023-01-04,politics is a mess right now #news,Neutral
5,@user5,Feeling under the weather today. 😷 #sick,2023-01-05,feeling under the weather today  #sick,Positive
6,@user6,Why is everything so expensive these days? #inflation,2023-01-06,why is everything so expensive these days #inflation,Positive
7,@user7,Terrible service today. Really disappointed. #fail,2023-01-07,terrible service today really disappointed #fail,Positive
8,@user8,The weather is just perfect for a walk. #sunnyday,2023-01-08,the weather is just perfect for a walk #sunnyday,Negative
9,@user9,Why is everything so expensive these days? #inflation,2023-01-09,why is everything so expensive these days #inflation,Neutral
10,@user10,Not sure how I feel about this movie. Mixed emotions. #review,2023-01-10,not sure how i feel about this movie mixed emotions #review,Neutral
11,@user11,Politics is a mess right now. #news,2023-01-11,politics is a mess right now #news,Positive
12,@user12,This product exceeded my expectations. #happycustomer,2023-01-12,this product exceeded my expectations #happycustomer,Negative
13,@user13,Terrible service today. Really disappointed. #fail,2023-01-13,terrible service today really disappointed #fail,Negative
14,@user14,Feeling under the weather today. 😷 #sick,2023-01-14,feeling under the weather today  #sick,Positive
15,@user15,Feeling under the weather today. 😷 #sick,2023-01-15,feeling under the weather today  #sick,Positive
16,@user16,Feeling under the weather today. 😷 #sick,2023-01-16,feeling under the weather today  #sick,Positive
17,@user17,The weather is just perfect for a walk. #sunnyday,2023-01-17,the weather is just perfect for a walk #sunnyday,Positive
18,@user18,I love the new features in this update! #awesome,2023-01-18,i love the new features in this update #awesome,Neutral
19,@user19,This product exceeded my expectations. #happycustomer,2023-01-19,this product exceeded my expectations #happycustomer,Positive
20,@user20,The weather is just perfect for a walk. #sunnyday,2023-01-20,the weather is just perfect for a walk #sunnyday,Positive
21,@user21,Why is everything so expensive these days? #inflation,2023-01-21,why is everything so expensive these days #inflation,Neutral
22,@user22,Terrible service today. Really disappointed. #fail,2023-01-22,terrible service today really disappointed #fail,Positive
23,@user23,Why is everything so expensive these days? #inflation,2023-01-23,why is everything so expensive these days #inflation,Positive
24,@user24,Politics is a mess right now. #news,2023-01-24,politics is a mess right now #news,Positive
25,@user25,Terrible service today. Really disappointed. #fail,2023-01-25,terrible service today really disappointed #fail,Positive
